Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free,Student_teacher_ratio,American Indian/Alaska Native,Asian,Black,Hispanic,White,Native Hawaiian/Pacific Islander,Two or More Races
2023-2025,RONDOUT VALLEY CENTRAL SCHOOL,RONDOUT VALLEY H S,Ulster,Public School,620901060001,www.rondout.k12.ny.us,24.0,0.0,0.0,24.0,Yes,20,4,Yes,Yes,Ongoing,RONDOUT VALLEY H S,ACCORD,NY,12404,05/06/2025,,,RONDOUT VALLEY S,,240.0,567.0,0.42328042328042326,10.45,0.003527336860670194,0.029982363315696647,0.05114638447971781,0.08465608465608465,0.818342151675485,0.0,0.012345679012345678
2023-2025,RONDOUT VALLEY CENTRAL SCHOOL,RONDOUT VALLEY INTERMEDIATE/JUNIOR HIGH SCHOOL,Ulster,Public School,620901060008,www.rondout.k12.ny.us,31.0,0.0,0.0,31.0,Yes,31,0,Yes,,,122 KYSERIKE RD,ACCORD,NY,12404,05/06/2025,,,RONDOUT VALLEY INTERMEDIATE/JUNIOR HIGH SCHOOL,,240.0,567.0,0.42328042328042326,10.45,0.003527336860670194,0.029982363315696647,0.05114638447971781,0.08465608465608465,0.818342151675485,0.0,0.012345679012345678
2023-2025,ROOSEVELT UNION FREE SCHOOL,ROOSEVELT HIGH SCHOOL,Nassau,Public School,280208030005,https://www.rooseveltufsd.org/district,189.0,0.0,189.0,0.0,Yes,189,0,Yes,Yes,Complete,1 WAGNER AVE,ROOSEVELT,NY,11575,05/27/2025,,,ROOSEVELT HIGH SCHOOL,,,,,12.37,,,,,,,
2023-2025,ROSCOE CENTRAL SCHOOL,ROSCOE CENTRAL SCHOOL,Sullivan,Public School,591301040001,https://www.roscoe.k12.ny.us/documents/community/lead-in-water-testing-results/253367,34.0,0.0,0.0,34.0,Yes,34,0,Yes,Yes,Complete,ACADEMY ST,ROSCOE,NY,12776,05/30/2025,,,ROSCOE CENTRAL SCHOOL,,98.0,203.0,0.4827586206896552,7.81,0.0,0.0049261083743842365,0.014778325123152709,0.14285714285714285,0.8325123152709359,0.0,0.0
2023-2025,ROSLYN UNION FREE SCHOOL,EAST HILLS SCHOOL,Nassau,Public School,280403030004,https://www.roslynschools.org/,45.0,0.0,0.0,45.0,Yes,45,0,Yes,Yes,Ongoing,LOCUST LN,ROSLYN HEIGHTS,NY,11577,02/25/2025,,,EAST HILLS SCHOOL,,106.0,543.0,0.19521178637200737,11.62,0.0,0.3020257826887661,0.034990791896869246,0.11233885819521179,0.5027624309392266,0.0,0.04788213627992634
2023-2025,ROSLYN UNION FREE SCHOOL,HARBOR HILL SCHOOL,Nassau,Public School,280403030007,https://www.roslynschools.org/,49.0,0.0,0.0,49.0,Yes,49,0,Yes,Yes,Ongoing,GLEN COVE RD,GREENVALE,NY,11548,02/25/2025,,,HARBOR HILL SCHOOL,,65.0,579.0,0.11226252158894647,12.79,0.0,0.2158894645941278,0.013816925734024179,0.08808290155440414,0.6493955094991365,0.0,0.03281519861830743
2023-2025,ROSLYN UNION FREE SCHOOL,ROSLYN H S,Nassau,Public School,280403030008,https://www.roslynschools.org/,69.0,0.0,0.0,69.0,Yes,69,0,Yes,Yes,Ongoing,ROSLYN RD,ROSLYN HEIGHTS,NY,11577,02/25/2025,,,ROSLYN S,,42.0,331.0,0.1268882175226586,11.95,0.0,0.23867069486404835,0.03323262839879154,0.14803625377643503,0.540785498489426,0.0,0.03927492447129909
2023-2025,ROSLYN UNION FREE SCHOOL,ROSLYN HEIGHTS ELEM SCHOOL,Nassau,Public School,280403030006,https://www.roslynschools.org/,40.0,0.0,0.0,40.0,Yes,40,0,Yes,Yes,Ongoing,WILLOW ST,ROSLYN HEIGHTS,NY,11576,02/25/2025,,,ROSLYN HEIGHTS  SCHOOL,,42.0,331.0,0.1268882175226586,11.95,0.0,0.23867069486404835,0.03323262839879154,0.14803625377643503,0.540785498489426,0.0,0.03927492447129909
2023-2025,ROSLYN UNION FREE SCHOOL,ROSLYN J H S,Nassau,Public School,280403030009,https://www.roslynschools.org/,38.0,0.0,0.0,38.0,Yes,38,0,Yes,Yes,Ongoing,LOCUST LN,ROSLYN HEIGHTS,NY,11577,02/25/2025,,,ROSLYN S,,126.0,792.0,0.1590909090909091,11.65,0.0012626262626262627,0.24494949494949494,0.03282828282828283,0.09090909090909091,0.6098484848484849,0.0025252525252525255,0.017676767676767676
2023-2025,ROTTERDAM-MOHONASEN,(LEAD ONLY) MOHONASEN ADVANCED TECHNOLOGY BUILDING,Schenectady,Public School,530515060013,https://www.mohonasen.org/,9.0,9.0,0.0,0.0,Yes,9,0,Yes,,,"400 WARRIOR WAY, 2072 CURRY ROAD",SCHENECTADY,NY,12303,12/07/2023,,,MOHONASEN ADVANCED TECHNOLOGY BUILDING,,378.0,890.0,0.4247191011235955,12.74,0.007865168539325843,0.033707865168539325,0.0651685393258427,0.11348314606741573,0.7101123595505618,0.0056179775280898875,0.060674157303370786
